number-of-elementary-fragments-per-axis	no-concurrency	concurrency-2-workers	concurrency-3-workers	concurrency-4-workers	concurrency-5-workers	concurrency-6-workers	concurrency-7-workers	concurrency-8-workers	concurrency-9-workers	concurrency-10-workers
1000	0.0015	0.0015	0.0015	0.00167	0.00124	0.00004	0.0021	0.00565	0.00664	0.00088
2000	0.00075	0.00019	0.00033	0.00042	0	0.00011	0.0006	0.00284	0.0007	0.00174
3000	0.0005	0.0005	0.00022	0.00003	0.00002	0.0005	0.00108	0.0019	0.00001	0.0012
4000	0.00038	0.00009	0.00017	0.00002	0.00002	0.00093	0.00003	0.00023	0.00035	0.00037
5000	0.0003	0.0003	0.00013	0.00011	0	0.00025	0.00013	0.00028	0.00054	0.00072
6000	0.00025	0.00025	0.00003	0.00014	0.0002	0.0004	0.00043	0	0.00042	0.00001
7000	0.00021	0.00005	0.00002	0.00012	0.00021	0.00034	0	0.00013	0.00035	0.0002
8000	0.00019	0.00005	0.00008	0.00013	0.00001	0.0003	0.00026	0	0.00052	0.00028
9000	0.00017	0.00004	0.00017	0.00006	0.00001	0.00014	0.00036	0.00037	0.0003	0.0004
10000	0.00015	0.00004	0.00002	0.00008	0.00001	0.00024	0.00015	0.00024	0.00025	0.00015