c	x
0	1.529847905
0.01	1.412161243
0.02	1.370038677
0.03	1.340614026
0.04	1.317869094
0.05	1.299461201
0.06	1.284183426
0.07	1.271315762
0.08	1.260387221
0.09	1.251069444
0.1	1.243122537
0.11	1.236364833
0.12	1.230654796
0.13	1.225879592
0.14	1.221947542
0.15	1.218782957
0.16	1.2163225
0.17	1.21451255
0.18	1.213307253
0.19	1.212667051
0.2	1.212557556
0.21	1.212948673
0.22	1.213813906
0.23	1.215129803
0.24	1.216875516
0.25	1.21903243
0.26	1.221583869
0.27	1.224514847
0.28	1.227811858
0.29	1.231462707
0.3	1.235456361
0.31	1.239782823
0.32	1.244433028
0.33	1.249398748
0.34	1.254672517
0.35	1.260247562
0.36	1.266117742
0.37	1.2722775
0.38	1.278721816
0.39	1.285446172
0.4	1.292446515
0.41	1.299719228
0.42	1.307261107
0.43	1.315069338
0.44	1.32314148
0.45	1.331475444
0.46	1.340069488
0.47	1.348922198
0.48	1.358032484
0.49	1.367399572
0.5	1.377023
0.51	1.386902615
0.52	1.397038569
0.53	1.407431325
0.54	1.418081658
0.55	1.428990657
0.56	1.440159735
0.57	1.451590636
0.58	1.463285447
0.59	1.47524661
0.6	1.48747694
0.61	1.49997964
0.62	1.512758326
0.63	1.525817052
0.64	1.539160336
0.65	1.552793199
0.66	1.566721197
0.67	1.58095047
0.68	1.595487793
0.69	1.610340631
0.7	1.625517211
0.71	1.641026599
0.72	1.656878793
0.73	1.673084824
0.74	1.689656889
0.75	1.706608492
0.76	1.723954621
0.77	1.74171195
0.78	1.759899095
0.79	1.778536906
0.8	1.797648831
0.81	1.817261368
0.82	1.837404613
0.83	1.858112952
0.84	1.879425944
0.85	1.901389444
0.86	1.924057071
0.87	1.947492164
0.88	1.97177041
0.89	1.99698349
0.9	2.023244237
0.91	2.050694186
0.92	2.079515005
0.93	2.109946589
0.94	2.142317296
0.95	2.177098113
0.96	2.215009048
0.97	2.257257023
0.98	2.306184716
0.99	2.367810325
1	2.505000029