n	x
1	0.5010000058
2	3.433501117
3	3.345832654
4	1.124726634
5	1.816327165
6	1.250002104
7	1.750339438
8	1.799910194
9	1.740884531
10	1.750005366
11	1.250053709
12	1.803467473
13	1.748532609
14	2.4963518
15	2.496234003
16	0.5000075383
17	4.450973152
18	4.43650809
19	1.756663798
20	2.445661612
21	1.250550479
22	1.752053217
23	1.802001057
24	1.748288774
25	1.750349502
26	1.251205882
27	1.802515242
28	1.750025076
29	2.50043297
30	2.500036148
31	0.5010093944
32	4.444814252
33	4.437205961
34	1.752665545
35	2.444024591
36	1.250039936
37	1.756656669
38	1.803568961
39	1.753191736
40	1.750062958
41	1.25494763
42	1.804453912
43	1.750967887
44	2.499961631
45	2.500871925
46	0.5000619295
47	4.439840477
48	4.436565257
49	1.75040779
50	2.445417824
51	1.251005723
52	1.753070824
53	1.807233667
54	1.749653467
55	1.75091561
56	1.252005357
57	1.808953504
58	1.750109098
59	2.501875681
60	2.500131611
61	0.5010360584
62	4.443366678
63	4.437515283
64	1.75194774
65	2.449167224
66	1.250136192
67	1.750454803
68	1.804495871
69	1.747023546
70	1.7501519
71	1.250163009
72	1.805698766
73	1.751010166
74	2.500408912
75	2.500972722
76	0.5001670272
77	4.450879124
78	4.4366939
79	1.756640384
80	2.446553766
81	1.25103311
82	1.751880087
83	1.802551756
84	1.748442414
85	1.751071015
86	1.25105304
87	1.80288155
88	1.750228177
89	2.500538884
90	2.500257949
91	0.5010790571
92	4.446187805
93	4.437509836
94	1.753645134
95	2.444414957
96	1.250268223
97	1.75661257
98	1.803393375
99	1.753210347
100	1.750323027
101	1.254929237